name,lat,lng
南吉田小学校,35.4365302,139.626539
石川小学校,35.434302,139.635744
中村小学校,35.4329346,139.625782
日枝小学校,35.435592,139.616604
大岡小学校,35.4259638,139.600761
井土ケ谷小学校,35.4327328,139.599527
永田小学校,35.43558,139.591575
南太田小学校,35.4354363,139.610977
太田小学校,35.4409681,139.617595
南小学校,35.4190625,139.599254
藤の木小学校,35.4124032,139.604843
永田台小学校,35.4328137,139.589378
六つ川台小学校,35.4285792,139.58092
別所小学校,35.4168963,139.581796
平楽中学校,35.4312665,139.633326
共進中学校,35.4326667,139.616836
南中学校,35.4268106,139.597473
蒔田中学校,35.4321641,139.609968
六ツ川中学校,35.4289387,139.578451
南が丘中学校,35.4138582,139.590794
永田中学校,35.4332113,139.587215
藤の木中学校,35.4107756,139.606015
東小学校,35.4434866973714,139.62404702084314
稲荷台小学校,35.449251812773575,139.61236057575664
西前小学校,35.453674249168856,139.61550185473243
平沼小学校,35.45750573315965,139.61558210687147
宮谷小学校,35.46638600575771,139.60864443279206
戸部小学校,35.45301343372132,139.6218072018019
一本松小学校,35.446965937380114,139.6190832996945
浅間台小学校,35.46179957692707,139.60583546238925
岡野中学校,35.46192020886854,139.61196923337414
西中学校,35.451973119918485,139.6185486259492
老松中学校,35.448269226549115,139.6246504396186
軽井沢中学校,35.46892311344178,139.60950712789784
